"Package","Version"
"circlize","0.4.18"
"clusterProfiler","4.20.0"
"ComplexHeatmap","2.28.0"
"DESeq2","1.52.0"
"dplyr","1.2.1"
"ggplot2","4.0.3"
"ggpubr","1.0.0"
"ggrepel","0.9.8"
"GSVA","2.6.2"
"homologene","1.4.68.19.3.27"
"IOBR","2.2.3"
"matrixStats","1.5.0"
"msigdbr","26.1.1"
"nlme","3.1.169"
"org.Mm.eg.db","3.23.0"
"patchwork","1.3.2"
"pheatmap","1.0.13"
"RColorBrewer","1.1.3"
"ReactomePA","1.56.0"
"readr","2.2.0"
"readxl","1.5.0"
"scales","1.4.0"
"sva","3.60.0"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyverse","2.0.0"
"uwot","0.2.4"
"WGCNA","1.74"
