Gene,BreastMidTumor_1,BreastMidTumor_2,BreastMidTumor_3,BreastMidNormalAdjacent_1,BreastMidNormalAdjacent_2,BreastMidNormalAdjacent_3,BreastMidNormal_1,BreastMidNormal_2,BreastMidNormal_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3,LungNormalAdjacent_1,LungNormalAdjacent_2,LungNormalAdjacent_3,LungNormal_1,LungNormal_2,LungNormal_3
0610005C13Rik,3,2,1,2,2,1,0,4,2,2,1,2,0,3,0,2,0,1
0610009E02Rik,0,1,0,0,3,1,1,0,0,0,2,2,1,2,0,0,0,0
0610009L18Rik,4,3,0,10,19,6,11,1,7,2,1,2,4,5,5,3,4,5
0610010K14Rik,0,0,0,2,0,1,1,1,0,3,1,0,1,2,0,0,0,0
0610012D04Rik,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0610025J13Rik,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,21,12,8,17,28,12,24,59,17,12,10,6,10,8,4,5,6,10
0610033M10Rik,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610038B21Rik,1,0,0,4,7,3,2,2,0,3,1,0,1,1,0,0,0,0
0610039K10Rik,2,1,1,41,18,5,18,23,10,8,2,5,0,1,1,1,1,2
0610040B10Rik,0,0,0,2,0,0,1,0,1,2,0,2,1,1,0,0,0,0
0610040F04Rik,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
0610040J01Rik,15,20,2,5,7,11,8,3,13,1,3,1,3,2,2,3,0,3
0610043K17Rik,2,1,1,2,3,1,3,3,1,8,3,3,5,3,3,1,2,4
1010001B22Rik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110002E22Rik,2,16,25,1,1,0,2,0,3,1,0,0,2,0,2,0,0,0
1110002J07Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1110002L01Rik,0,1,0,9,7,3,6,8,2,7,4,6,1,1,0,2,0,1
1110004F10Rik,8,8,12,2,6,2,2,0,0,7,5,3,6,5,4,7,3,1
1110006O24Rik,0,2,0,0,0,6,1,1,5,0,0,0,3,5,5,3,0,1
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1110018N20Rik,0,1,1,0,3,0,1,4,2,3,1,1,0,0,0,1,1,0
1110019B22Rik,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1110019D14Rik,0,2,0,2,2,1,0,0,1,0,0,1,2,1,1,0,0,2
1110020A21Rik,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
1110025M09Rik,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,2,3,1,2,2,0,2,1,1,0,0,0,1,1,1
