Gene,Breast_early_N1,Breast_early_N1_techrep2
0610005C13Rik,2,2
0610009E02Rik,0,1
0610009L18Rik,2,2
0610012D04Rik,3,3
0610030E20Rik,23,20
0610033M10Rik,0,1
0610038B21Rik,2,1
0610039K10Rik,15,12
0610040F04Rik,2,2
0610040J01Rik,13,8
0610043K17Rik,8,9
1110002J07Rik,0,0
1110002L01Rik,10,5
1110004F10Rik,11,9
1110006O24Rik,1,1
1110019D14Rik,1,0
1110020A21Rik,0,0
1110025M09Rik,2,0
1110028F11Rik,2,2
1110038B12Rik,14,14
1110038F14Rik,7,10
1110058D11Rik,2,2
1110059E24Rik,1,0
1110059G10Rik,3,2
1110065P20Rik,9,7
1190005I06Rik,0,0
1200007C13Rik,1,1
1300002E11Rik,12,15
1300014J16Rik,5,3
1500002C15Rik,0,0
1500002F19Rik,4,4
1500004A13Rik,10,9
1500005C15Rik,1,0
1500012K07Rik,1,1
1500015A07Rik,1,1
1500015L24Rik,1,0
1500026H17Rik,1,1
1500032F14Rik,0,0
1600002D24Rik,1,0
1600012H06Rik,17,16
1600014C10Rik,15,9
1600020E01Rik,9,7
1700001K19Rik,0,2
1700001L05Rik,3,2
1700001O22Rik,3,3
1700003E16Rik,8,9
1700003F12Rik,0,1
1700003G18Rik,1,1
1700003O11Rik,0,1
1700006J14Rik,1,1
1700007J10Rik,3,4
1700007L15Rik,1,0
1700007P06Rik,0,1
1700008A23Rik,2,2
1700008B11Rik,1,1
1700008J07Rik,0,0
1700011L22Rik,1,0
1700014B07Rik,1,1
1700016A09Rik,0,0
1700016B15Rik,0,0
1700016H13Rik,1,0
1700017B05Rik,68,59
1700018L02Rik,5,4
1700019L13Rik,0,0
1700020L13Rik,0,0
1700020L24Rik,1,2
1700021J08Rik,1,1
1700021N21Rik,0,0
1700022N22Rik,0,1
1700023C21Rik,0,1
1700023H06Rik,6,9
1700025G04Rik,45,62
1700025N21Rik,0,0
1700025N23Rik,1,2
1700026N04Rik,1,0
1700027A07Rik,0,0
1700027J07Rik,0,1
1700028E10Rik,3,3
1700028E11Rik,2,1
1700029J03Rik,1,1
1700030C14Rik,4,6
1700030J22Rik,0,0
1700030K09Rik,6,5
1700030L22Rik,2,1
1700031C06Rik,1,0
1700034J05Rik,1,1
1700037C18Rik,0,2
1700040D17Rik,0,1
1700047A11Rik,3,3
1700047K16Rik,1,1
1700052K11Rik,3,5
1700054A03Rik,1,0
1700054K19Rik,1,0
1700055D18Rik,2,1
1700056E22Rik,0,0
1700056N10Rik,4,2
1700058P15Rik,1,0
1700060J05Rik,0,1
1700060O08Rik,1,0
1700061E17Rik,0,0
1700061N14Rik,0,2
1700063D05Rik,0,0
1700063H04Rik,1,0
1700064H15Rik,2,1
1700064N11Rik,3,3
1700065J18Rik,0,3
1700066M21Rik,1,2
1700067K01Rik,1,1
1700081N11Rik,1,1
1700084C06Rik,0,3
1700084E18Rik,1,2
1700085D07Rik,0,1
1700085D22Rik,5,2
1700086D15Rik,2,2
1700086O06Rik,8,11
1700086P04Rik,1,0
1700087M22Rik,1,2
1700088E04Rik,2,2
1700093J21Rik,1,2
1700093K21Rik,0,1
1700095J12Rik,4,4
1700096K18Rik,0,1
1700099I09Rik,2,0
1700101I11Rik,0,0
1700102P08Rik,1,2
1700105P06Rik,1,0
1700108F19Rik,1,1
1700108J01Rik,0,0
1700109H08Rik,3,4
1700109K24Rik,4,1
1700110C19Rik,1,2
1700111E14Rik,0,1
1700112J16Rik,1,1
1700113A16Rik,8,3
1700120B22Rik,1,1
1700120C14Rik,3,1
1700120E14Rik,0,0
1700120G07Rik,1,3
1700122O11Rik,0,1
1700123M08Rik,0,0
1700123O20Rik,6,7
1700126G02Rik,3,2
1700126H18Rik,0,1
1810008B01Rik,0,0
1810009A15Rik,0,1
1810019D21Rik,19,12
1810021B22Rik,4,4
1810024B03Rik,1,1
1810030O07Rik,3,4
1810034E14Rik,5,2
1810037I17Rik,2,4
1810041H14Rik,1,0
1810055G02Rik,6,4
1810058N15Rik,1,0
1810059C17Rik,2,3
1810062G17Rik,0,0
1810062O18Rik,1,2
2010001A14Rik,5,8
2010001M07Rik,2,3
2010003K11Rik,0,0
2010004M13Rik,0,0
2010007H06Rik,3,2
2010016I18Rik,9,12
2010110K18Rik,2,2
2010204K13Rik,2,2
2010308F09Rik,4,4
2010315B03Rik,10,14
2010320M18Rik,0,2
2200002D01Rik,2,5
2210016L21Rik,8,5
2210039B01Rik,1,0
2210406H18Rik,0,0
2210406O10Rik,0,0
2210408F21Rik,3,2
2210408I21Rik,8,1
2210411M09Rik,1,0
2300009A05Rik,0,1
2310001H17Rik,8,11
2310001K24Rik,2,0
2310009B15Rik,0,0
2310011J03Rik,4,5
2310014F06Rik,12,12
2310015A10Rik,8,7
2310015A16Rik,0,1
2310016G11Rik,1,0
2310022A10Rik,13,9
2310022B05Rik,14,7
2310026L22Rik,2,1
2310030G06Rik,1,3
2310033P09Rik,8,7
2310034G01Rik,5,6
2310039H08Rik,1,2
2310043M15Rik,1,0
2310043O21Rik,0,0
2310043P16Rik,0,0
2310047K21Rik,4,3
2310057J18Rik,170,157
2310057M21Rik,4,7
2310058D17Rik,7,2
2310061I04Rik,7,4
2310068J16Rik,2,1
2310069B03Rik,1,0
2410002F23Rik,21,13
2410004B18Rik,4,0
2410006H16Rik,13,7
2410017I17Rik,0,0
2410022M11Rik,1,3
2500002B13Rik,1,2
2500004C02Rik,3,0
2510002D24Rik,14,8
2510009E07Rik,5,5
2510016D11Rik,2,2
2510017J16Rik,1,0
2510039O18Rik,31,32
2600002D14Rik,0,0
2600006K01Rik,0,1
2610001A08Rik,0,0
2610005L07Rik,2,3
2610008E11Rik,20,8
2610011E03Rik,14,19
2610012C04Rik,1,1
2610020C07Rik,17,10
2610021A01Rik,6,4
2610024D14Rik,2,1
2610027K06Rik,1,2
2610028D06Rik,0,0
2610029K11Rik,0,0
2610035D17Rik,4,1
2610037D02Rik,5,4
2610203C22Rik,15,14
2610204G07Rik,2,1
2610306M01Rik,2,2
2610306O10Rik,1,2
2610307P16Rik,21,15
2610316D01Rik,2,2
2610318M16Rik,1,1
2610318N02Rik,1,1
2610507I01Rik,4,5
2610528J11Rik,1,2
2700029L08Rik,7,6
2700038G22Rik,0,2
2700049A03Rik,13,7
2700062C07Rik,7,3
2700078F05Rik,1,1
2700097O09Rik,9,6
2700099C18Rik,7,3
2810001A02Rik,2,0
2810001G20Rik,3,6
2810002D19Rik,4,3
2810004N23Rik,14,13
2810013P06Rik,4,5
2810021J22Rik,3,2
2810029C07Rik,1,0
2810030D12Rik,0,0
2810036E18Rik,1,1
2810402E24Rik,3,3
2810403D21Rik,4,7
2810405F17Rik,2,0
2810408A11Rik,1,4
2810408I11Rik,4,6
2810414N06Rik,1,1
2810428J06Rik,0,3
2810429I04Rik,5,3
2810432F15Rik,0,1
2810442N19Rik,1,0
2810454H06Rik,1,2
2810455O05Rik,5,4
2810459M11Rik,7,5
2900005J15Rik,4,5
2900009J06Rik,5,4
2900018N21Rik,0,0
2900026A02Rik,102,105
2900040C04Rik,0,1
2900052L18Rik,2,2
2900076A07Rik,9,12
2900089D17Rik,1,0
2900093K20Rik,3,3
3010001F23Rik,1,0
3010003L21Rik,5,5
3110009E18Rik,1,1
3110015C05Rik,0,1
3110040N11Rik,7,1
3110045C21Rik,0,1
3110056K07Rik,13,12
3110067C02Rik,1,1
3110080O07Rik,1,0
3110082I17Rik,6,11
3200001D21Rik,1,0
3300002A11Rik,3,1
3300002I08Rik,5,3
3300002P09Rik,2,0
3632454L22Rik,2,1
3830408C21Rik,2,1
3830432H09Rik,1,0
4631405J19Rik,8,4
4632404H12Rik,2,1
4632411P08Rik,0,0
4632418H02Rik,8,10
4632427E13Rik,52,44
