Gene,BreastEarly_1,BreastEarly_2,BreastEarly_3,BreastMid_1,BreastMid_2,BreastMid_3,BreastLate_1,BreastLate_2,BreastLate_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3
0610005C13Rik,2,1,1,3,2,1,0,6,0,2,1,2
0610009E02Rik,0,2,1,0,1,0,0,1,1,0,2,2
0610009L18Rik,2,4,2,4,3,0,6,3,4,2,1,2
0610010K14Rik,0,2,0,0,0,0,0,0,0,3,1,0
0610012D04Rik,3,6,1,0,0,0,1,3,1,0,1,0
0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,23,38,29,21,12,8,23,47,16,12,10,6
0610033M10Rik,0,0,0,0,1,1,0,0,0,0,0,0
0610038B21Rik,2,4,3,1,0,0,0,3,1,3,1,0
0610039K10Rik,15,11,20,2,1,1,7,9,10,8,2,5
0610040B10Rik,0,4,1,0,0,0,0,2,3,2,0,2
0610040F04Rik,2,1,1,0,0,0,2,2,1,1,1,1
0610040J01Rik,13,15,11,15,20,2,17,15,22,1,3,1
0610043K17Rik,8,6,9,2,1,1,5,4,3,8,3,3
1010001B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110002E22Rik,0,0,0,2,16,25,0,0,0,1,0,0
1110002J07Rik,0,0,0,0,0,0,1,0,0,1,0,0
1110002L01Rik,10,9,3,0,1,0,6,5,3,7,4,6
1110004F10Rik,11,12,9,8,8,12,12,3,14,7,5,3
1110006O24Rik,1,1,2,0,2,0,2,2,6,0,0,0
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110018N20Rik,0,0,0,0,1,1,0,2,1,3,1,1
1110019B22Rik,0,0,0,0,0,0,0,0,0,1,0,0
1110019D14Rik,1,6,3,0,2,0,0,1,0,0,0,1
1110020A21Rik,0,0,0,0,0,0,2,0,1,1,1,1
1110025M09Rik,2,1,1,1,0,0,0,0,0,0,0,0
1110028F11Rik,2,3,4,0,0,0,2,5,5,2,1,1
1110028F18Rik,0,0,0,0,0,0,0,0,0,1,0,1
1110032F04Rik,0,0,0,1,0,0,0,0,0,0,0,0
1110035H17Rik,0,1,0,0,0,0,0,0,0,0,0,0
1110038B12Rik,14,12,13,13,8,5,19,18,16,4,2,1
1110038F14Rik,7,12,10,0,0,0,15,16,11,27,17,4
1110046J04Rik,0,1,1,0,0,0,0,0,1,0,0,0
1110058D11Rik,2,4,1,1,0,0,3,0,2,0,0,0
1110059E24Rik,1,3,0,0,0,0,0,1,0,2,2,1
1110059G10Rik,3,8,3,0,0,0,4,1,0,0,0,3
1110065P20Rik,9,3,4,0,1,1,6,4,2,7,5,3
1190001M18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1190005I06Rik,0,0,0,0,0,0,1,1,0,0,0,0
1200007C13Rik,1,0,1,0,0,0,0,4,1,1,0,2
1300002E11Rik,12,16,12,0,0,0,5,14,5,16,7,10
1300014J16Rik,5,7,4,0,0,0,1,0,1,3,1,0
1500002C15Rik,0,0,1,0,0,0,1,2,1,2,4,1
1500002F19Rik,4,2,4,0,0,0,0,0,0,0,0,0
1500004A13Rik,10,10,3,6,5,2,8,5,3,5,4,1
1500005C15Rik,1,0,1,0,0,0,0,0,0,0,0,0
1500009L16Rik,0,0,0,0,0,0,0,0,0,0,1,0
1500012K07Rik,1,0,1,0,0,0,0,0,0,0,0,0
1500015A07Rik,1,2,1,2,0,0,3,0,3,4,1,1
1500015L24Rik,1,0,0,0,0,0,1,1,0,0,0,0
1500026H17Rik,1,2,1,0,0,0,3,1,1,2,0,0
1500032F14Rik,0,1,2,0,0,0,3,3,1,2,0,0
1500035N22Rik,0,1,2,0,0,0,0,0,0,2,0,0
1600002D24Rik,1,1,0,0,1,0,0,0,0,0,0,0
1600010M07Rik,0,0,0,0,0,0,0,1,1,0,0,0
1600012H06Rik,17,16,13,0,0,0,7,13,14,5,2,7
1600014C10Rik,15,6,9,2,1,1,16,11,11,7,2,3
1600014C23Rik,0,0,0,0,0,0,0,0,1,0,0,0
1600017P15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,9,6,9,0,1,1,13,6,10,12,14,4
1600027J07Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700001D01Rik,0,4,0,0,0,0,0,1,1,5,0,0
1700001G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J03Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700001J04Rik,0,0,0,1,3,0,0,0,0,0,0,0
1700001K19Rik,0,2,0,0,0,0,1,0,1,1,0,1
1700001K23Rik,0,0,0,0,0,0,0,1,0,0,1,0
1700001L05Rik,3,2,1,2,1,1,2,1,1,1,2,4
1700001O22Rik,3,1,2,0,0,0,2,0,0,3,0,0
1700003E16Rik,8,8,2,0,0,0,4,2,1,3,1,0
1700003F12Rik,0,0,0,0,0,0,1,0,0,0,1,3
1700003G18Rik,1,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,1,0,0,0,0,1,0,1
1700003O11Rik,0,0,0,0,0,0,1,0,0,0,0,0
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,1,0,0,0,0,0,1,2,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007J10Rik,3,5,1,0,0,0,1,2,0,1,0,0
