sample_id,condition,replicate,barcode,sequencing_batch
Breast_early_N1,Breast_early,1,3,Batch1
Breast_early_N2,Breast_early,2,3,Batch1
Breast_early_N3,Breast_early,3,3,Batch2
Breast_mid_N1,Breast_mid,1,1,Batch2
Breast_mid_N2,Breast_mid,2,1,Batch2
Breast_mid_N3,Breast_mid,3,1,Batch1
Breast_normal_adjacent_N1,Breast_normal_adjacent,1,2,Batch2
Breast_normal_adjacent_N2,Breast_normal_adjacent,2,2,Batch2
Breast_normal_adjacent_N3,Breast_normal_adjacent,3,2,Batch1
Breast_normal_N1,Breast_normal,1,3,Batch2
Breast_normal_N2,Breast_normal,2,3,Batch2
Breast_normal_N3,Breast_normal,3,3,Batch1
Breast_late_N1,Breast_late,1,1,Batch1
Breast_late_N2,Breast_late,2,1,Batch1
Breast_late_N3,Breast_late,3,1,Batch2
Lung_metastasis_N1,Lung_metastasis,1,1,Batch1
Lung_metastasis_N2,Lung_metastasis,2,1,Batch2
Lung_metastasis_N3,Lung_metastasis,3,1,Batch2
Lung_normal_adjacent_N1,Lung_normal_adjacent,1,2,Batch1
Lung_normal_adjacent_N2,Lung_normal_adjacent,2,2,Batch2
Lung_normal_adjacent_N3,Lung_normal_adjacent,3,2,Batch2
Lung_normal_N1,Lung_normal,1,3,Batch1
Lung_normal_N2,Lung_normal,2,3,Batch2
Lung_normal_N3,Lung_normal,3,3,Batch2
