Metagene	Cell type
ADRM1	Activated CD8 T cell
AHSA1	Activated CD8 T cell
C1GALT1C1	Activated CD8 T cell
CCT6B	Activated CD8 T cell
CD37	Activated CD8 T cell
CD3D	Activated CD8 T cell
CD3E	Activated CD8 T cell
CD3G	Activated CD8 T cell
CD69	Activated CD8 T cell
CD8A	Activated CD8 T cell
CETN3	Activated CD8 T cell
CSE1L	Activated CD8 T cell
GEMIN6	Activated CD8 T cell
GNLY	Activated CD8 T cell
GPT2	Activated CD8 T cell
GZMA	Activated CD8 T cell
GZMH	Activated CD8 T cell
GZMK	Activated CD8 T cell
IL2RB	Activated CD8 T cell
LCK	Activated CD8 T cell
MPZL1	Activated CD8 T cell
NKG7	Activated CD8 T cell
PIK3IP1	Activated CD8 T cell
PTRH2	Activated CD8 T cell
TIMM13	Activated CD8 T cell
ZAP70	Activated CD8 T cell
ACTN4	Central memory CD8 T cell
ADAM12	Central memory CD8 T cell
ADCY9	Central memory CD8 T cell
F13A1	Central memory CD8 T cell
FCER1G	Central memory CD8 T cell
FCGR3B	Central memory CD8 T cell
FGF7	Central memory CD8 T cell
FKBP4	Central memory CD8 T cell
GLUD1	Central memory CD8 T cell
GM2A	Central memory CD8 T cell
GUSB	Central memory CD8 T cell
IL1RN	Central memory CD8 T cell
NOL11	Central memory CD8 T cell
NTRK1	Central memory CD8 T cell
RARA	Central memory CD8 T cell
RNF128	Central memory CD8 T cell
SIGLEC1	Central memory CD8 T cell
TNFRSF11A	Central memory CD8 T cell
TOX4	Central memory CD8 T cell
UBA52	Central memory CD8 T cell
ULBP1	Central memory CD8 T cell
ACAP1	Effector memeory CD8 T cell
APOL3	Effector memeory CD8 T cell
ARHGAP10	Effector memeory CD8 T cell
ATP10D	Effector memeory CD8 T cell
C3AR1	Effector memeory CD8 T cell
CCR5	Effector memeory CD8 T cell
CD160	Effector memeory CD8 T cell
CD55	Effector memeory CD8 T cell
CFLAR	Effector memeory CD8 T cell
CMKLR1	Effector memeory CD8 T cell
DAPP1	Effector memeory CD8 T cell
FCRL6	Effector memeory CD8 T cell
FLT3LG	Effector memeory CD8 T cell
GZMM	Effector memeory CD8 T cell
HAPLN3	Effector memeory CD8 T cell
HLA-DMB	Effector memeory CD8 T cell
HLA-DPA1	Effector memeory CD8 T cell
HLA-DPB1	Effector memeory CD8 T cell
IFI16	Effector memeory CD8 T cell
LIME1	Effector memeory CD8 T cell
LTK	Effector memeory CD8 T cell
NFKBIA	Effector memeory CD8 T cell
SETD7	Effector memeory CD8 T cell
SIK1	Effector memeory CD8 T cell
TRIB2	Effector memeory CD8 T cell
AIM2	Activated CD4 T cell
BIRC3	Activated CD4 T cell
BRIP1	Activated CD4 T cell
CCL20	Activated CD4 T cell
CCL4	Activated CD4 T cell
CCL5	Activated CD4 T cell
CCNB1	Activated CD4 T cell
CCR7	Activated CD4 T cell
DUSP2	Activated CD4 T cell
ESCO2	Activated CD4 T cell
ETS1	Activated CD4 T cell
EXO1	Activated CD4 T cell
EXOC6	Activated CD4 T cell
IARS	Activated CD4 T cell
ITK	Activated CD4 T cell
KIF11	Activated CD4 T cell
KNTC1	Activated CD4 T cell
NUF2	Activated CD4 T cell
PRC1	Activated CD4 T cell
PSAT1	Activated CD4 T cell
RGS1	Activated CD4 T cell
RTKN2	Activated CD4 T cell
SAMSN1	Activated CD4 T cell
SELL	Activated CD4 T cell
TRAT1	Activated CD4 T cell
ABHD3	Central memory CD4 T cell
AHNAK	Central memory CD4 T cell
ANXA2P2	Central memory CD4 T cell
AQP3	Central memory CD4 T cell
ATHL1	Central memory CD4 T cell
BMI1	Central memory CD4 T cell
BZW2	Central memory CD4 T cell
CD63	Central memory CD4 T cell
COL4A1	Central memory CD4 T cell
CYLD	Central memory CD4 T cell
ELMO2	Central memory CD4 T cell
FYN	Central memory CD4 T cell
GLIPR1	Central memory CD4 T cell
GSS	Central memory CD4 T cell
IFITM2	Central memory CD4 T cell
ITGB1	Central memory CD4 T cell
ITGB2	Central memory CD4 T cell
KLF5	Central memory CD4 T cell
LSP1	Central memory CD4 T cell
NDUFB9	Central memory CD4 T cell
PKM2	Central memory CD4 T cell
SFXN3	Central memory CD4 T cell
SIRPG	Central memory CD4 T cell
SMAD4	Central memory CD4 T cell
STX4	Central memory CD4 T cell
TRADD	Central memory CD4 T cell
VIM	Central memory CD4 T cell
XRCC6	Central memory CD4 T cell
ATM	Effector memeory CD4 T cell
CASP3	Effector memeory CD4 T cell
CASQ1	Effector memeory CD4 T cell
CD300E	Effector memeory CD4 T cell
DARS	Effector memeory CD4 T cell
DOCK9	Effector memeory CD4 T cell
