Metagene	Cell type
Adrm1	Activated CD8 T cell
Adrm1b	Activated CD8 T cell
Ahsa1	Activated CD8 T cell
C1galt1c1	Activated CD8 T cell
Cct6b	Activated CD8 T cell
Cd37	Activated CD8 T cell
Cd3d	Activated CD8 T cell
Cd3e	Activated CD8 T cell
Cd3g	Activated CD8 T cell
Cd69	Activated CD8 T cell
Cd8a	Activated CD8 T cell
Cetn3	Activated CD8 T cell
Cse1l	Activated CD8 T cell
Gemin6	Activated CD8 T cell
Gpt2	Activated CD8 T cell
Gzma	Activated CD8 T cell
Gzme	Activated CD8 T cell
Gzmg	Activated CD8 T cell
Gzmd	Activated CD8 T cell
Gzmf	Activated CD8 T cell
Gzmn	Activated CD8 T cell
Gzmk	Activated CD8 T cell
Il2rb	Activated CD8 T cell
Lck	Activated CD8 T cell
Mpzl1	Activated CD8 T cell
Nkg7	Activated CD8 T cell
Pik3ip1	Activated CD8 T cell
Ptrh2	Activated CD8 T cell
Timm13	Activated CD8 T cell
Zap70	Activated CD8 T cell
Actn4	Central memory CD8 T cell
Adam12	Central memory CD8 T cell
Adcy9	Central memory CD8 T cell
F13a1	Central memory CD8 T cell
Fcer1g	Central memory CD8 T cell
Fcgr4	Central memory CD8 T cell
Fgf7	Central memory CD8 T cell
Fkbp4	Central memory CD8 T cell
Glud1	Central memory CD8 T cell
Gm2a	Central memory CD8 T cell
Gusb	Central memory CD8 T cell
Il1rn	Central memory CD8 T cell
Nol11	Central memory CD8 T cell
Ntrk1	Central memory CD8 T cell
Rara	Central memory CD8 T cell
Rnf128	Central memory CD8 T cell
Siglec1	Central memory CD8 T cell
Siglecl2	Central memory CD8 T cell
Tnfrsf11a	Central memory CD8 T cell
Tox4	Central memory CD8 T cell
Uba52	Central memory CD8 T cell
Ulbp1	Central memory CD8 T cell
Acap1	Effector memeory CD8 T cell
Apol7b	Effector memeory CD8 T cell
Apol8	Effector memeory CD8 T cell
Arhgap10	Effector memeory CD8 T cell
Atp10d	Effector memeory CD8 T cell
C3ar1	Effector memeory CD8 T cell
Ccr5	Effector memeory CD8 T cell
Cd160	Effector memeory CD8 T cell
Cd55b	Effector memeory CD8 T cell
Cd55	Effector memeory CD8 T cell
Cflar	Effector memeory CD8 T cell
Cmklr1	Effector memeory CD8 T cell
Dapp1	Effector memeory CD8 T cell
Fcrl6	Effector memeory CD8 T cell
Flt3l	Effector memeory CD8 T cell
Gzmm	Effector memeory CD8 T cell
Hapln3	Effector memeory CD8 T cell
H2-DMb1	Effector memeory CD8 T cell
H2-DMb2	Effector memeory CD8 T cell
Ifi202b	Effector memeory CD8 T cell
Ifi207	Effector memeory CD8 T cell
Mndal	Effector memeory CD8 T cell
Lime1	Effector memeory CD8 T cell
Ltk	Effector memeory CD8 T cell
Nfkbia	Effector memeory CD8 T cell
Setd7	Effector memeory CD8 T cell
Sik1	Effector memeory CD8 T cell
Trib2	Effector memeory CD8 T cell
Aim2	Activated CD4 T cell
Birc3	Activated CD4 T cell
Brip1	Activated CD4 T cell
Ccl20	Activated CD4 T cell
Ccl4	Activated CD4 T cell
Ccl5	Activated CD4 T cell
Ccnb1	Activated CD4 T cell
Ccr7	Activated CD4 T cell
Dusp2	Activated CD4 T cell
Esco2	Activated CD4 T cell
Ets1	Activated CD4 T cell
Exo1	Activated CD4 T cell
Exoc6	Activated CD4 T cell
Itk	Activated CD4 T cell
Kif11	Activated CD4 T cell
Kntc1	Activated CD4 T cell
Nuf2	Activated CD4 T cell
Prc1	Activated CD4 T cell
Psat1	Activated CD4 T cell
Rgs1	Activated CD4 T cell
Rtkn2	Activated CD4 T cell
Samsn1	Activated CD4 T cell
Sell	Activated CD4 T cell
Trat1	Activated CD4 T cell
Abhd3	Central memory CD4 T cell
Ahnak	Central memory CD4 T cell
Anxa2	Central memory CD4 T cell
Aqp3	Central memory CD4 T cell
Bmi1	Central memory CD4 T cell
Bzw2	Central memory CD4 T cell
Cd63	Central memory CD4 T cell
Col4a1	Central memory CD4 T cell
Cyld	Central memory CD4 T cell
Elmo2	Central memory CD4 T cell
Fyn	Central memory CD4 T cell
Glipr1	Central memory CD4 T cell
Gss	Central memory CD4 T cell
Ifitm2	Central memory CD4 T cell
Itgb1	Central memory CD4 T cell
Itgb2	Central memory CD4 T cell
Itgb2l	Central memory CD4 T cell
Klf5	Central memory CD4 T cell
Lsp1	Central memory CD4 T cell
Ndufb9	Central memory CD4 T cell
Sfxn3	Central memory CD4 T cell
Sirpb1c	Central memory CD4 T cell
Sirpb1b	Central memory CD4 T cell
Sirpb1a	Central memory CD4 T cell
Smad4	Central memory CD4 T cell
Stx4a	Central memory CD4 T cell
Tradd	Central memory CD4 T cell
Vim	Central memory CD4 T cell
Xrcc6	Central memory CD4 T cell
Atm	Effector memeory CD4 T cell
Casp3	Effector memeory CD4 T cell
Casq1	Effector memeory CD4 T cell
Cd300e	Effector memeory CD4 T cell
Dock9	Effector memeory CD4 T cell
Exosc9	Effector memeory CD4 T cell
Ezh2	Effector memeory CD4 T cell
Gde1	Effector memeory CD4 T cell
Il34	Effector memeory CD4 T cell
Ncoa4	Effector memeory CD4 T cell
Nefl	Effector memeory CD4 T cell
Pdgfrl	Effector memeory CD4 T cell
Ptgs1	Effector memeory CD4 T cell
Reps1	Effector memeory CD4 T cell
Scg2	Effector memeory CD4 T cell
Siglecf	Effector memeory CD4 T cell
Cd33	Effector memeory CD4 T cell
Tal1	Effector memeory CD4 T cell
Tfec	Effector memeory CD4 T cell
Tipin	Effector memeory CD4 T cell
Tpk1	Effector memeory CD4 T cell
Uqcrb	Effector memeory CD4 T cell
Usp9y	Effector memeory CD4 T cell
Wipf1	Effector memeory CD4 T cell
Zcrb1	Effector memeory CD4 T cell
B3gat1	T follicular helper cell
Cdk5r1	T follicular helper cell
Pdcd1	T follicular helper cell
Bcl6	T follicular helper cell
Cd200	T follicular helper cell
Cd83	T follicular helper cell
Cd84	T follicular helper cell
Fgf2	T follicular helper cell
Gpr18	T follicular helper cell
Cebpa	T follicular helper cell
Clec10a	T follicular helper cell
Mgl2	T follicular helper cell
Clec4a1	T follicular helper cell
Clec4a4	T follicular helper cell
Clec4a3	T follicular helper cell
Clec4a2	T follicular helper cell
Csf1r	T follicular helper cell
Ctss	T follicular helper cell
Dpp4	T follicular helper cell
Lrrc32	T follicular helper cell
Mc5r	T follicular helper cell
Mill1	T follicular helper cell
Mill2	T follicular helper cell
Ncam1	T follicular helper cell
Nrp1	T follicular helper cell
Pdcd1lg2	T follicular helper cell
Pdcd6	T follicular helper cell
Prdx1	T follicular helper cell
Rae1	T follicular helper cell
Raet1a	T follicular helper cell
Raet1e	T follicular helper cell
Raet1c	T follicular helper cell
Raet1d	T follicular helper cell
H60b	T follicular helper cell
Raet1b	T follicular helper cell
Siglece	T follicular helper cell
Tyro3	T follicular helper cell
Chst12	T follicular helper cell
Clic3	T follicular helper cell
Ivns1abp	T follicular helper cell
Kir3dl1	T follicular helper cell
Kir3dl2	T follicular helper cell
Lgmn	T follicular helper cell
Acp5	Gamma delta T cell
Aqp9	Gamma delta T cell
BC028528	Gamma delta T cell
Ccl3	Gamma delta T cell
Cd209e	Gamma delta T cell
Cd209a	Gamma delta T cell
Cd209d	Gamma delta T cell
Cd209c	Gamma delta T cell
Cd209b	Gamma delta T cell
Cd33	Gamma delta T cell
Siglech	Gamma delta T cell
Cd36	Gamma delta T cell
Cdk5	Gamma delta T cell
Il10rb	Gamma delta T cell
Lgals1	Gamma delta T cell
Mapk7	Gamma delta T cell
Klhl7	Gamma delta T cell
Krt80	Gamma delta T cell
Lamc1	Gamma delta T cell
Lcorl	Gamma delta T cell
Lmnb1	Gamma delta T cell
Meis3	Gamma delta T cell
Mpl	Gamma delta T cell
Fabp1	Gamma delta T cell
Fabp5	Gamma delta T cell
Fadd	Gamma delta T cell
Mfap3l	Gamma delta T cell
Minpp1	Gamma delta T cell
Rps24	Gamma delta T cell
Rps7	Gamma delta T cell
Rps9	Gamma delta T cell
Dbnl	Gamma delta T cell
Ccl11	Gamma delta T cell
Cd70	Type 1 T helper cell
Tbx21	Type 1 T helper cell
Adam8	Type 1 T helper cell
Ahcyl2	Type 1 T helper cell
Alcam	Type 1 T helper cell
B3galnt1	Type 1 T helper cell
Bbs12	Type 1 T helper cell
Bst1	Type 1 T helper cell
Cd151	Type 1 T helper cell
Cd47	Type 1 T helper cell
Cd48	Type 1 T helper cell
Cd52	Type 1 T helper cell
Cd53	Type 1 T helper cell
Cd59b	Type 1 T helper cell
Cd59a	Type 1 T helper cell
Cd6	Type 1 T helper cell
Cd68	Type 1 T helper cell
Cd7	Type 1 T helper cell
Cd96	Type 1 T helper cell
Cfhr2	Type 1 T helper cell
Chrm3	Type 1 T helper cell
Clec7a	Type 1 T helper cell
Col23a1	Type 1 T helper cell
Col4a4	Type 1 T helper cell
Col5a3	Type 1 T helper cell
Dab1	Type 1 T helper cell
Dleu7	Type 1 T helper cell
Doc2b	Type 1 T helper cell
Emp1	Type 1 T helper cell
F12	Type 1 T helper cell
Furin	Type 1 T helper cell
Gab3	Type 1 T helper cell
Gatm	Type 1 T helper cell
Gfpt2	Type 1 T helper cell
Gpr25	Type 1 T helper cell
Grem2	Type 1 T helper cell
Havcr1	Type 1 T helper cell
Timd5	Type 1 T helper cell
Timd6	Type 1 T helper cell
Timd2	Type 1 T helper cell
Hsd11b1	Type 1 T helper cell
Hunk	Type 1 T helper cell
Igf2	Type 1 T helper cell
Rcsd1	Type 1 T helper cell
Ryr1	Type 1 T helper cell
Sav1	Type 1 T helper cell
Sele	Type 1 T helper cell
Selp	Type 1 T helper cell
Sh3kbp1	Type 1 T helper cell
Sit1	Type 1 T helper cell
Slc35b3	Type 1 T helper cell
Siglecg	Type 1 T helper cell
Skap1	Type 1 T helper cell
Thumpd2	Type 1 T helper cell
Tigit	Type 1 T helper cell
Zeb2	Type 1 T helper cell
Enc1	Type 1 T helper cell
Fbxo30	Type 1 T helper cell
Fcgr2b	Type 1 T helper cell
Stac	Type 1 T helper cell
Ltc4s	Type 1 T helper cell
Man1b1	Type 1 T helper cell
Mdh1	Type 1 T helper cell
Mmd	Type 1 T helper cell
Rgs16	Type 1 T helper cell
Il12a	Type 1 T helper cell
P2rx5	Type 1 T helper cell
Itgb4	Type 1 T helper cell
Metrnl	Type 1 T helper cell
Tnfrsf1a	Type 1 T helper cell
Irf1	Type 1 T helper cell
Htr2b	Type 1 T helper cell
Cald1	Type 1 T helper cell
Mocos	Type 1 T helper cell
Traf3ip2	Type 1 T helper cell
Tlr8	Type 1 T helper cell
Traf1	Type 1 T helper cell
Dusp14	Type 1 T helper cell
Il17a	Type 17 T helper cell
Il17ra	Type 17 T helper cell
C2cd4a	Type 17 T helper cell
C2cd4b	Type 17 T helper cell
Ca2	Type 17 T helper cell
Psg22	Type 17 T helper cell
Psg18	Type 17 T helper cell
Psg29	Type 17 T helper cell
Il17c	Type 17 T helper cell
Il17f	Type 17 T helper cell
Il17rc	Type 17 T helper cell
Il17re	Type 17 T helper cell
Il23a	Type 17 T helper cell
Ildr1	Type 17 T helper cell
Lonrf3	Type 17 T helper cell
Sh2d6	Type 17 T helper cell
Tnip2	Type 17 T helper cell
Abca1	Type 17 T helper cell
Abcb1a	Type 17 T helper cell
Abcb1b	Type 17 T helper cell
Adamts12	Type 17 T helper cell
Ank1	Type 17 T helper cell
Ankrd22	Type 17 T helper cell
B3galt2	Type 17 T helper cell
Camta1	Type 17 T helper cell
Ccr9	Type 17 T helper cell
Cd40	Type 17 T helper cell
Ift80	Type 17 T helper cell
Asb2	Type 2 T helper cell
