queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
1	10090.ENSMUSP00000071486	10090	Mus musculus	Actg1	Actin, cytoplasmic 2, N-terminally processed; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.
2	10090.ENSMUSP00000084905	10090	Mus musculus	Adamts10	A disintegrin and metalloproteinase with thrombospondin motifs 10; Metalloprotease that participate in microfibrils assembly. Microfibrils are extracellular matrix components occurring independently or along with elastin in the formation of elastic tissues (By similarity).
3	10090.ENSMUSP00000124570	10090	Mus musculus	Adra1a	Alpha-1A adrenergic receptor; This alpha-adrenergic receptor mediates its action by association with G proteins that activate a phosphatidylinositol- calcium second messenger system. Its effect is mediated by G(q) and G(11) proteins. Nuclear ADRA1A-ADRA1B heterooligomers regulate phenylephrine (PE)-stimulated ERK signaling in cardiac myocytes (By similarity).
4	10090.ENSMUSP00000051389	10090	Mus musculus	Akap8l	A-kinase anchor protein 8-like; Could play a role in constitutive transport element (CTE)- mediated gene expression by association with DHX9. Increases CTE- dependent nuclear unspliced mRNA export. Proposed to target PRKACA to the nucleus but does not seem to be implicated in the binding of regulatory subunit II of PKA. May be involved in nuclear envelope breakdown and chromatin condensation. May be involved in anchoring nuclear membranes to chromatin in interphase and in releasing membranes from chromating at mitosis. May regulate the initiation phase of DNA replication when associate [...] 
5	10090.ENSMUSP00000115718	10090	Mus musculus	Als2cl	ALS2 C-terminal-like protein; Acts as a guanine nucleotide exchange factor (GEF) for Rab5 GTPase. Regulates the ALS2-mediated endosome dynamics (By similarity).
6	10090.ENSMUSP00000157539	10090	Mus musculus	Apcdd1	Protein APCDD1; Negative regulator of the Wnt signaling pathway. Inhibits Wnt signaling in a cell-autonomous manner and functions upstream of beta- catenin. May act via its interaction with Wnt and LRP proteins (By similarity); Belongs to the APCDD1 family.
7	10090.ENSMUSP00000038450	10090	Mus musculus	Asb16	Ankyrin repeat and SOCS box protein 16; May be a substrate-recognition component of a SCF-like ECS (Elongin-Cullin-SOCS-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins.
8	10090.ENSMUSP00000112500	10090	Mus musculus	Atg16l2	Autophagy-related protein 16-2; May play a role in autophagy.
9	10090.ENSMUSP00000042215	10090	Mus musculus	Atp8a1	Phospholipid-transporting ATPase IA; Catalytic component of a P4-ATPase flippase complex which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids from the outer to the inner leaflet of various membranes and ensures the maintenance of asymmetric distribution of phospholipids. Phospholipid translocation seems also to be implicated in vesicle formation and in uptake of lipid signaling molecules. In vitro, its ATPase activity is selectively and stereospecifically stimulated by phosphatidylserine (PS). The flippase complex ATP8A1:TMEM30A seems to play a role in r [...] 
10	10090.ENSMUSP00000099534	10090	Mus musculus	B2m	Beta-2-microglobulin; Component of the class I major histocompatibility complex (MHC). Involved in the presentation of peptide antigens to the immune system; Belongs to the beta-2-microglobulin family.
