stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
10090.ENSMUSP00000019992	10090.ENSMUSP00000044227	Lama4	Itga9	10090	0.8	0	0	0	0.156	0.166	0.65	0.285
10090.ENSMUSP00000019992	10090.ENSMUSP00000028106	Lama4	Itga8	10090	0.809	0	0	0	0.225	0.166	0.65	0.256
10090.ENSMUSP00000019992	10090.ENSMUSP00000113556	Lama4	Itga3	10090	0.814	0	0	0	0.049	0.168	0.65	0.408
10090.ENSMUSP00000028106	10090.ENSMUSP00000071486	Itga8	Actg1	10090	0.665	0	0	0	0.046	0	0.65	0.078
10090.ENSMUSP00000028106	10090.ENSMUSP00000113556	Itga8	Itga3	10090	0.721	0	0	0	0	0	0.54	0.419
10090.ENSMUSP00000028106	10090.ENSMUSP00000044227	Itga8	Itga9	10090	0.792	0	0	0	0.156	0.053	0.54	0.502
10090.ENSMUSP00000042215	10090.ENSMUSP00000099534	Atp8a1	B2m	10090	0.74	0	0	0	0	0	0	0.74
10090.ENSMUSP00000044227	10090.ENSMUSP00000072852	Itga9	Ctdspl	10090	0.401	0	0	0	0.066	0	0	0.385
10090.ENSMUSP00000044227	10090.ENSMUSP00000113556	Itga9	Itga3	10090	0.613	0	0	0	0	0	0.54	0.193
10090.ENSMUSP00000044227	10090.ENSMUSP00000071486	Itga9	Actg1	10090	0.665	0	0	0	0.046	0	0.65	0.078
10090.ENSMUSP00000047564	10090.ENSMUSP00000050408	Pygm	Cmya5	10090	0.541	0	0	0	0.497	0.051	0	0.116
10090.ENSMUSP00000062476	10090.ENSMUSP00000082055	Mrpl50	Rpl10	10090	0.422	0	0	0	0.044	0.421	0	0
10090.ENSMUSP00000071486	10090.ENSMUSP00000082055	Actg1	Rpl10	10090	0.452	0	0	0	0.163	0.316	0	0.119
10090.ENSMUSP00000071486	10090.ENSMUSP00000113556	Actg1	Itga3	10090	0.666	0	0	0	0.048	0	0.65	0.078
10090.ENSMUSP00000071486	10090.ENSMUSP00000112928	Actg1	Dpysl3	10090	0.738	0	0	0	0.041	0.079	0.72	0.067
10090.ENSMUSP00000071486	10090.ENSMUSP00000147514	Actg1	Cfl1	10090	0.989	0	0	0	0.573	0.289	0.9	0.699
